TweetID,Entity,Sentiment,original_tweet,cleaned_text,processed_text,vader_compound,vader_pos,vader_neg,vader_neu,vader_sentiment,tb_polarity,tb_subjectivity,tb_sentiment,theme_count,is_mental_health_related,primary_theme,themes_detected,dominant_topic_id,topic_confidence,dominant_topic_label,is_questionable_claim,flag_category,flag_matched_pattern,human_review_required
1662,CallOfDutyBlackopsColdWar,Irrelevant,"Press F to: . accelerate the war on drugs, cripple minority communities by criminalizing drugs and funneling them in (also hurting race relations), /. ruin/overflow the prison system with mass incarceration and privatization, sell arms to Iran, call black people monkeys...",Press F to accelerate the war on drugs cripple minority communities by criminalizing drugs and funneling them in also hurting race relations ruin overflow the prison system with mass incarceration and privatization sell arms to Iran call black people monkeys,press accelerate war drug cripple minority community criminalizing drug funneling also hurting race relation ruin overflow prison system mass incarceration privatization sell arm iran call black people monkey,-0.93,0.0,0.303,0.697,Negative,-0.1667,0.4333,Negative,0,False,General Social,,2,0.5083,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,war on drugs,True
1662,CallOfDutyBlackopsColdWar,Irrelevant,"F to:. accelerate the war on drugs, paralyze minority communities by criminalizing drugs and smuggling them into Iran (which also damages race relations), /. ruin / overflow the prison system with mass incarceration and privatization, sell weapons to Iran, call blacks apes...",F to accelerate the war on drugs paralyze minority communities by criminalizing drugs and smuggling them into Iran which also damages race relations ruin overflow the prison system with mass incarceration and privatization sell weapons to Iran call blacks apes,accelerate war drug paralyze minority community criminalizing drug smuggling iran also damage race relation ruin overflow prison system mass incarceration privatization sell weapon iran call black ape,-0.9633,0.0,0.376,0.624,Negative,0.0,0.0,Neutral,0,False,General Social,,2,0.3342,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,war on drugs,True
1662,CallOfDutyBlackopsColdWar,Irrelevant,"Press F to:. accelerate the war on drugs, suppress minority communities by criminalizing drugs and channeling them in the right direction (also harming race relations), /. destroy / overflow the prison system with mass incitement and privatization, sell arms to Iran, call black monkeys...",Press F to accelerate the war on drugs suppress minority communities by criminalizing drugs and channeling them in the right direction also harming race relations destroy overflow the prison system with mass incitement and privatization sell arms to Iran call black monkeys,press accelerate war drug suppress minority community criminalizing drug channeling right direction also harming race relation destroy overflow prison system mass incitement privatization sell arm iran call black monkey,-0.936,0.0,0.279,0.721,Negative,-0.027,0.323,Neutral,0,False,General Social,,2,0.5779,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,war on drugs,True
1662,CallOfDutyBlackopsColdWar,Irrelevant,"Press F ears:. accelerate your war on drugs, cripple minority communities with criminalizing drugs and shutting them in (also hurting race relations), /. ruin/overflow the prison system with mass incarceration and privatization, sell arms from Iran, call black people monkeys...",Press F ears accelerate your war on drugs cripple minority communities with criminalizing drugs and shutting them in also hurting race relations ruin overflow the prison system with mass incarceration and privatization sell arms from Iran call black people monkeys,press ear accelerate war drug cripple minority community criminalizing drug shutting also hurting race relation ruin overflow prison system mass incarceration privatization sell arm iran call black people monkey,-0.9287,0.0,0.281,0.719,Negative,-0.1667,0.4333,Negative,0,False,General Social,,2,0.5083,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,war on drugs,True
1662,CallOfDutyBlackopsColdWar,Irrelevant,"Press Letter F is to :. accelerate both the war on drugs, to cripple minority Tamil communities by criminalizing these drugs and funneling them farther in ( also hurting tribal race relations ), /. ruin / can overflow the prison system together with mass incarceration and privatization, sell arms to Iran, call black people monkeys...",Press Letter F is to accelerate both the war on drugs to cripple minority Tamil communities by criminalizing these drugs and funneling them farther in also hurting tribal race relations ruin can overflow the prison system together with mass incarceration and privatization sell arms to Iran call black people monkeys,press letter accelerate war drug cripple minority tamil community criminalizing drug funneling farther also hurting tribal race relation ruin overflow prison system together mass incarceration privatization sell arm iran call black people monkey,-0.93,0.0,0.252,0.748,Negative,-0.1667,0.4333,Negative,0,False,General Social,,2,0.5083,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,war on drugs,True
126,Amazon,Neutral,This dangerous 'party drug' has been everywhere — even on Amazon nbcnews.com/feature/nbc-ou… via @nbcnews,This dangerous 'party drug' has been everywhere even on Amazon nbcnews com feature nbc-ou via,dangerous party drug everywhere even amazon nbcnews com feature nbc-ou via,0.0772,0.226,0.159,0.615,Positive,-0.6,0.9,Negative,0,False,General Social,,2,0.4874,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,party drug,True
126,Amazon,Neutral,"This dangerous ""party drug"" was everywhere - even on Amazon nbcnews.com / feature / nbc-ou... via @ nbcnews",This dangerous party drug was everywhere - even on Amazon nbcnews com feature nbc-ou via nbcnews,dangerous party drug everywhere even amazon nbcnews com feature nbc-ou via nbcnews,0.0772,0.226,0.159,0.615,Positive,-0.6,0.9,Negative,0,False,General Social,,2,0.4874,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,party drug,True
126,Amazon,Neutral,"This dangerous ""party drug"" was everywhere - even on Amazon nbc-news.com / feature / nbc-ou... via @ nbc-news",This dangerous party drug was everywhere - even on Amazon nbc-news com feature nbc-ou via nbc-news,dangerous party drug everywhere even amazon nbc-news com feature nbc-ou via nbc-news,0.0772,0.226,0.159,0.615,Positive,-0.6,0.9,Negative,0,False,General Social,,2,0.3479,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,party drug,True
126,Amazon,Neutral,This infamous 'party drug' has been discredited — even legalized Amazon nbcnews.com/feature/nbc-ou… via @nbcnews,This infamous 'party drug' has been discredited even legalized Amazon nbcnews com feature nbc-ou via,infamous party drug discredited even legalized amazon nbcnews com feature nbc-ou via,0.128,0.228,0.15,0.622,Positive,-0.5,1.0,Negative,0,False,General Social,,2,0.6225,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,party drug,True
126,Amazon,Neutral,2013 This supposedly dangerous'party drug'has been everywhere possible — even on the Amazon nbcnews. com / profile feature / nbc - ou … or via @nbcnews,2013 This supposedly dangerous'party drug'has been everywhere possible even on the Amazon nbcnews com profile feature nbc - ou or via,supposedly dangerous'party drug'has everywhere possible even amazon nbcnews com profile feature nbc ou via,0.1779,0.082,0.0,0.918,Positive,-0.3,0.95,Negative,0,False,General Social,,2,0.4872,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,party drug,True
126,Amazon,Neutral,of dangerous 'party drug' has sold everywhere — watch for Amazon nbcnews.com/feature/nbc-ou... via this,of dangerous 'party drug' has sold everywhere watch for Amazon nbcnews com feature nbc-ou via this,dangerous party drug sold everywhere watch amazon nbcnews com feature nbc-ou via,0.0772,0.215,0.151,0.634,Positive,-0.6,0.9,Negative,0,False,General Social,,2,0.3539,Gaming Performance & Play,True,Dangerous Drug & Substance Claim,party drug,True
130,Amazon,Neutral,Toxic masculinity has me specifically searching “men’s hair dryers” on Amazon,Toxic masculinity has me specifically searching men s hair dryers on Amazon,toxic masculinity specifically searching men hair dryer amazon,0.1779,0.145,0.0,0.855,Positive,0.0,0.0,Neutral,0,False,General Social,,4,0.4326,Community & Social Interaction,True,Toxicity & Contamination Alarm,toxic,True
130,Amazon,Neutral,Toxic masculinity makes me search Amazon for'men's hairdryers',Toxic masculinity makes me search Amazon for'men's hairdryers',toxic masculinity make search amazon for'men hairdryers,0.1779,0.195,0.0,0.805,Positive,0.0,0.0,Neutral,0,False,General Social,,2,0.3611,Gaming Performance & Play,True,Toxicity & Contamination Alarm,toxic,True
130,Amazon,Neutral,Toxic masculinity makes me search for'male hair dryers' on Amazon,Toxic masculinity makes me search for'male hair dryers' on Amazon,toxic masculinity make search for'male hair dryer amazon,0.1779,0.159,0.0,0.841,Positive,0.0,0.1,Neutral,0,False,General Social,,5,0.361,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
130,Amazon,Neutral,Toxic masculinity sent me specifically searching “men’s hair again on Amazon,Toxic masculinity sent me specifically searching men s hair again on Amazon,toxic masculinity sent specifically searching men hair amazon,0.1779,0.145,0.0,0.855,Positive,0.0,0.0,Neutral,0,False,General Social,,3,0.5274,Customer Experience & Support,True,Toxicity & Contamination Alarm,toxic,True
130,Amazon,Neutral,Toxic masculinity online has me very specifically considering searching “ men ’ s hair to dryers ” on Amazon,Toxic masculinity online has me very specifically considering searching men s hair to dryers on Amazon,toxic masculinity online very specifically considering searching men hair dryer amazon,0.1779,0.108,0.0,0.892,Positive,0.2,0.3,Positive,0,False,General Social,,4,0.452,Community & Social Interaction,True,Toxicity & Contamination Alarm,toxic,True
130,Amazon,Neutral,Toxic masculinity has me fully targeting “men’s hair “ on Amazon,Toxic masculinity has me fully targeting men s hair on Amazon,toxic masculinity fully targeting men hair amazon,0.1779,0.159,0.0,0.841,Positive,0.0,0.0,Neutral,0,False,General Social,,3,0.3605,Customer Experience & Support,True,Toxicity & Contamination Alarm,toxic,True
352,Amazon,Neutral,BBC News - Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer' bbc.co.uk/news/av/busine…,BBC News - Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer' bbc co uk news av busine,bbc news amazon bos jeff bezos reject claim company acted like drug dealer bbc co uk news av busine,-0.0,0.179,0.137,0.684,Neutral,0.0,0.0,Neutral,0,False,General Social,,3,0.4744,Customer Experience & Support,True,Dangerous Drug & Substance Claim,drug dealer,True
352,Amazon,Neutral,"BBC News - Amazon boss Jeff Bezos rejects claims the company behaved like a ""drug dealer"" bbc.co.uk / news / av / busine...",BBC News - Amazon boss Jeff Bezos rejects claims the company behaved like a drug dealer bbc co uk news av busine,bbc news amazon bos jeff bezos reject claim company behaved like drug dealer bbc co uk news av busine,-0.0,0.172,0.131,0.697,Neutral,0.0,0.0,Neutral,0,False,General Social,,3,0.4744,Customer Experience & Support,True,Dangerous Drug & Substance Claim,drug dealer,True
352,Amazon,Neutral,"BBC News - Amazon boss Jeff Bezos rejects claims the company behaved like a ""drug dealer"" bbc.co.uk / news / av / fashion...",BBC News - Amazon boss Jeff Bezos rejects claims the company behaved like a drug dealer bbc co uk news av fashion,bbc news amazon bos jeff bezos reject claim company behaved like drug dealer bbc co uk news av fashion,-0.0,0.172,0.131,0.697,Neutral,0.0,0.0,Neutral,0,False,General Social,,3,0.4744,Customer Experience & Support,True,Dangerous Drug & Substance Claim,drug dealer,True
352,Amazon,Neutral,BBC News - Amazon entrepreneur Jeff Bezos rejects accusations company acted like the 'drug dealer' bbc.co.uk/news/av/busine…,BBC News - Amazon entrepreneur Jeff Bezos rejects accusations company acted like the 'drug dealer' bbc co uk news av busine,bbc news amazon entrepreneur jeff bezos reject accusation company acted like drug dealer bbc co uk news av busine,-0.3182,0.163,0.214,0.623,Negative,0.0,0.0,Neutral,0,False,General Social,,3,0.5606,Customer Experience & Support,True,Dangerous Drug & Substance Claim,drug dealer,True
9216,Overwatch,Irrelevant,Overwatch game chat is toxic,Overwatch game chat is toxic,overwatch game chat toxic,0.0,0.0,0.0,1.0,Neutral,-0.4,0.4,Negative,0,False,General Social,,5,0.6331,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9216,Overwatch,Irrelevant,Overwatch chat is toxic,Overwatch chat is toxic,overwatch chat toxic,0.0,0.0,0.0,1.0,Neutral,0.0,0.0,Neutral,0,False,General Social,,5,0.5416,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9216,Overwatch,Irrelevant,Overtime Chat Is Toxic,Overtime Chat Is Toxic,overtime chat toxic,0.0,0.0,0.0,1.0,Neutral,0.0,0.0,Neutral,0,False,General Social,,2,0.3889,Gaming Performance & Play,True,Toxicity & Contamination Alarm,toxic,True
9216,Overwatch,Irrelevant,Overwatch video chat is toxic,Overwatch video chat is toxic,overwatch video chat toxic,0.0,0.0,0.0,1.0,Neutral,0.0,0.0,Neutral,0,False,General Social,,5,0.4333,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9216,Overwatch,Irrelevant,Overwatch game video chat is toxic,Overwatch game video chat is toxic,overwatch game video chat toxic,0.0,0.0,0.0,1.0,Neutral,-0.4,0.4,Negative,0,False,General Social,,5,0.4884,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9216,Overwatch,Irrelevant,Overwatch game play is toxic,Overwatch game play is toxic,overwatch game play toxic,0.34,0.375,0.0,0.625,Positive,-0.4,0.4,Negative,0,False,General Social,,5,0.833,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9218,Overwatch,Irrelevant,FUCK YALL TOXIC PEOPLE ON OVERWATCH,FUCK YALL TOXIC PEOPLE ON OVERWATCH,fuck yall toxic people overwatch,-0.5423,0.0,0.412,0.588,Negative,-0.4,0.6,Negative,0,False,General Social,,5,0.4937,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9218,Overwatch,Irrelevant,FUCK EVERY TOXIC PEOPLE ON OVERWATCH,FUCK EVERY TOXIC PEOPLE ON OVERWATCH,fuck every toxic people overwatch,-0.5423,0.0,0.412,0.588,Negative,-0.4,0.6,Negative,0,False,General Social,,5,0.6143,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9218,Overwatch,Irrelevant,HIGH WATER FUK YALL TOXIC PEOPLE,HIGH WATER FUK YALL TOXIC PEOPLE,high water fuk yall toxic people,0.0,0.0,0.0,1.0,Neutral,0.16,0.54,Positive,0,False,General Social,,3,0.4343,Customer Experience & Support,True,Toxicity & Contamination Alarm,toxic,True
9218,Overwatch,Irrelevant,FUCK UP TOXIC PEOPLE ON OVERWATCH,FUCK UP TOXIC PEOPLE ON OVERWATCH,fuck toxic people overwatch,-0.5423,0.0,0.412,0.588,Negative,-0.4,0.6,Negative,0,False,General Social,,5,0.6143,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9218,Overwatch,Irrelevant,FUCK A YALL AS TOXIC THE PEOPLE ON IS OVERWATCH,FUCK A YALL AS TOXIC THE PEOPLE ON IS OVERWATCH,fuck yall toxic people overwatch,-0.5423,0.0,0.304,0.696,Negative,-0.4,0.6,Negative,0,False,General Social,,5,0.4937,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9218,Overwatch,Irrelevant,CAN YALL TOXIC<unk> ON OVERWATCH,CAN YALL TOXIC ON OVERWATCH,yall toxic overwatch,0.0,0.0,0.0,1.0,Neutral,0.0,0.0,Neutral,0,False,General Social,,5,0.5016,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9267,Overwatch,Irrelevant,"Toxic players who do this should be lynch. If you don't say it to womens face, definitely don't do it where women could whoop your ass.",Toxic players who do this should be lynch If you don't say it to womens face definitely don't do it where women could whoop your ass,toxic player lynch n't say womens face definitely n't woman could whoop as,-0.2023,0.089,0.116,0.795,Negative,0.0,0.5,Neutral,0,False,General Social,,5,0.5736,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
9267,Overwatch,Irrelevant,"Toxic players who do this should be lynched. If you don't tell women in the face, you shouldn't do it where women can punch you in the ass.",Toxic players who do this should be lynched If you don't tell women in the face you shouldn't do it where women can punch you in the ass,toxic player lynched n't tell woman face n't woman punch as,-0.5423,0.0,0.115,0.885,Negative,0.0,0.0,Neutral,0,False,General Social,,5,0.6374,Frustration & Bug Complaints,True,Toxicity & Contamination Alarm,toxic,True
